Pop	Ind	Location	Grp	Type
LOP0423	LOP0423_002s	LOP	CT	CT_spat
LOP0423	LOP0423_003s	LOP	CT	CT_spat
LOP0423	LOP0423_004s	LOP	CT	CT_spat
LOP0423	LOP0423_005s	LOP	CT	CT_spat
LOP0423	LOP0423_006s	LOP	CT	CT_spat
LOP0423	LOP0423_007s	LOP	CT	CT_spat
LOP0423	LOP0423_008s	LOP	CT	CT_spat
LOP0423	LOP0423_009s	LOP	CT	CT_spat
LOP0423	LOP0423_010s	LOP	CT	CT_spat
LOP0423	LOP0423_011s	LOP	CT	CT_spat
LOP0423	LOP0423_012s	LOP	CT	CT_spat
LOP0423	LOP0423_013s	LOP	CT	CT_spat
LOP0423	LOP0423_014s	LOP	CT	CT_spat
LOP0423	LOP0423_015s	LOP	CT	CT_spat
LOP0423	LOP0423_016s	LOP	CT	CT_spat
LOP0423	LOP0423_017s	LOP	CT	CT_spat
LOP0423	LOP0423_018s	LOP	CT	CT_spat
LOP0423	LOP0423_019s	LOP	CT	CT_spat
LOP0423	LOP0423_020s	LOP	CT	CT_spat
LOP0423	LOP0423_021s	LOP	CT	CT_spat
LOP0423	LOP0423_022s	LOP	CT	CT_spat
LOP0423	LOP0423_023s	LOP	CT	CT_spat
LOP0423	LOP0423_025s	LOP	CT	CT_spat
LOP0423	LOP0423_026s	LOP	CT	CT_spat
LOP0423	LOP0423_027s	LOP	CT	CT_spat
LOP0423	LOP0423_028s	LOP	CT	CT_spat
LOP0423	LOP0423_029s	LOP	CT	CT_spat
LOP0423	LOP0423_030s	LOP	CT	CT_spat
LOP0423	LOP0423_031s	LOP	CT	CT_spat
LOP0423	LOP0423_032s	LOP	CT	CT_spat
LOP0423	LOP0423_033s	LOP	CT	CT_spat
LOP0423	LOP0423_034s	LOP	CT	CT_spat
LOP0423	LOP0423_035s	LOP	CT	CT_spat
LOP0423	LOP0423_036s	LOP	CT	CT_spat
LOP0423	LOP0423_037s	LOP	CT	CT_spat
LOP0423	LOP0423_038s	LOP	CT	CT_spat
LOP0423	LOP0423_039s	LOP	CT	CT_spat
LOP0423	LOP0423_040s	LOP	CT	CT_spat
LOP0423	LOP0423_041s	LOP	CT	CT_spat
LOP0423	LOP0423_042s	LOP	CT	CT_spat
LOP0423	LOP0423_043s	LOP	CT	CT_spat
LOP0423	LOP0423_044s	LOP	CT	CT_spat
LOP0423	LOP0423_045s	LOP	CT	CT_spat
LOP0423	LOP0423_046s	LOP	CT	CT_spat
LOP0423	LOP0423_047s	LOP	CT	CT_spat
LOP0423	LOP0423_048s	LOP	CT	CT_spat
LOP0423	LOP0423_049s	LOP	CT	CT_spat
LOP0423	LOP0423_050s	LOP	CT	CT_spat
LOP0423	LOP0423_051s	LOP	CT	CT_spat
LOP0423	LOP0423_052s	LOP	CT	CT_spat
LOP0423	LOP0423_053s	LOP	CT	CT_spat
LOP0423	LOP0423_054s	LOP	CT	CT_spat
LOP0423	LOP0423_055s	LOP	CT	CT_spat
MCK0423	MCK0423_001s	MCK	CT	CT_spat
MCK0423	MCK0423_002s	MCK	CT	CT_spat
MCK0423	MCK0423_003s	MCK	CT	CT_spat
MCK0423	MCK0423_004s	MCK	CT	CT_spat
MCK0423	MCK0423_005s	MCK	CT	CT_spat
MCK0423	MCK0423_006s	MCK	CT	CT_spat
MCK0423	MCK0423_007s	MCK	CT	CT_spat
MCK0423	MCK0423_008s	MCK	CT	CT_spat
MCK0423	MCK0423_009s	MCK	CT	CT_spat
MCK0423	MCK0423_010s	MCK	CT	CT_spat
MCK0423	MCK0423_011s	MCK	CT	CT_spat
MCK0423	MCK0423_012s	MCK	CT	CT_spat
MCK0423	MCK0423_013s	MCK	CT	CT_spat
MCK0423	MCK0423_014s	MCK	CT	CT_spat
MCK0423	MCK0423_015s	MCK	CT	CT_spat
MCK0423	MCK0423_016s	MCK	CT	CT_spat
MCK0423	MCK0423_017s	MCK	CT	CT_spat
MCK0423	MCK0423_018s	MCK	CT	CT_spat
MCK0423	MCK0423_019s	MCK	CT	CT_spat
MCK0423	MCK0423_020s	MCK	CT	CT_spat
MCK0423	MCK0423_021s	MCK	CT	CT_spat
MCK0423	MCK0423_022s	MCK	CT	CT_spat
MCK0423	MCK0423_023s	MCK	CT	CT_spat
MCK0423	MCK0423_024s	MCK	CT	CT_spat
MCK0423	MCK0423_025s	MCK	CT	CT_spat
MCK0423	MCK0423_026s	MCK	CT	CT_spat
MCK0423	MCK0423_027s	MCK	CT	CT_spat
MCK0423	MCK0423_028s	MCK	CT	CT_spat
MCK0423	MCK0423_029s	MCK	CT	CT_spat
MCK0423	MCK0423_030s	MCK	CT	CT_spat
MCK0423	MCK0423_031s	MCK	CT	CT_spat
MCK0423	MCK0423_032s	MCK	CT	CT_spat
MCK0423	MCK0423_033s	MCK	CT	CT_spat
MCK0423	MCK0423_034s	MCK	CT	CT_spat
MCK0423	MCK0423_035s	MCK	CT	CT_spat
MCK0423	MCK0423_036s	MCK	CT	CT_spat
MCK0423	MCK0423_037s	MCK	CT	CT_spat
MIH0423	MIH0423_001s	MIH	CT	CT_spat
MIH0423	MIH0423_002s	MIH	CT	CT_spat
MIH0423	MIH0423_003s	MIH	CT	CT_spat
MIH0423	MIH0423_004s	MIH	CT	CT_spat
MIH0423	MIH0423_005s	MIH	CT	CT_spat
MIH0423	MIH0423_006s	MIH	CT	CT_spat
MIH0423	MIH0423_007s	MIH	CT	CT_spat
MIH0423	MIH0423_008s	MIH	CT	CT_spat
MIH0423	MIH0423_009s	MIH	CT	CT_spat
MIH0423	MIH0423_010s	MIH	CT	CT_spat
MIH0423	MIH0423_011s	MIH	CT	CT_spat
MIH0423	MIH0423_012s	MIH	CT	CT_spat
MIH0423	MIH0423_013s	MIH	CT	CT_spat
MIH0423	MIH0423_014s	MIH	CT	CT_spat
MIH0423	MIH0423_015s	MIH	CT	CT_spat
MIH0423	MIH0423_016s	MIH	CT	CT_spat
MIH0423	MIH0423_017s	MIH	CT	CT_spat
MIH0423	MIH0423_018s	MIH	CT	CT_spat
MIH0423	MIH0423_019s	MIH	CT	CT_spat
MIH0423	MIH0423_020s	MIH	CT	CT_spat
MIH0423	MIH0423_021s	MIH	CT	CT_spat
MIH0423	MIH0423_022s	MIH	CT	CT_spat
MIH0423	MIH0423_023s	MIH	CT	CT_spat
MIH0423	MIH0423_024s	MIH	CT	CT_spat
MIH0423	MIH0423_025s	MIH	CT	CT_spat
MIH0423	MIH0423_026s	MIH	CT	CT_spat
MIH0423	MIH0423_027s	MIH	CT	CT_spat
MIH0423	MIH0423_028s	MIH	CT	CT_spat
MIH0423	MIH0423_029s	MIH	CT	CT_spat
MIH0423	MIH0423_030s	MIH	CT	CT_spat
MIH0423	MIH0423_031s	MIH	CT	CT_spat
MIH0423	MIH0423_032s	MIH	CT	CT_spat
MIH0423	MIH0423_033s	MIH	CT	CT_spat
MIH0423	MIH0423_034s	MIH	CT	CT_spat
MIH0423	MIH0423_035s	MIH	CT	CT_spat
MIH0423	MIH0423_036s	MIH	CT	CT_spat
MIH0423	MIH0423_037s	MIH	CT	CT_spat
MIH0423	MIH0423_038s	MIH	CT	CT_spat
MIH0423	MIH0423_039s	MIH	CT	CT_spat
MIH0423	MIH0423_040s	MIH	CT	CT_spat
MIH0423	MIH0423_041s	MIH	CT	CT_spat
MIH0423	MIH0423_042s	MIH	CT	CT_spat
NRH0423	NRH0423_001s	NRH	CT	CT_spat
NRH0423	NRH0423_002s	NRH	CT	CT_spat
NRH0423	NRH0423_003s	NRH	CT	CT_spat
NRH0423	NRH0423_004s	NRH	CT	CT_spat
NRH0423	NRH0423_005s	NRH	CT	CT_spat
NRH0423	NRH0423_006s	NRH	CT	CT_spat
NRH0423	NRH0423_007s	NRH	CT	CT_spat
NRH0423	NRH0423_008s	NRH	CT	CT_spat
NRH0423	NRH0423_009s	NRH	CT	CT_spat
NRH0423	NRH0423_010s	NRH	CT	CT_spat
NRH0423	NRH0423_011s	NRH	CT	CT_spat
NRH0423	NRH0423_012s	NRH	CT	CT_spat
NRH0423	NRH0423_013s	NRH	CT	CT_spat
NRH0423	NRH0423_014s	NRH	CT	CT_spat
NRH0423	NRH0423_015s	NRH	CT	CT_spat
NRH0423	NRH0423_016s	NRH	CT	CT_spat
NRH0423	NRH0423_017s	NRH	CT	CT_spat
NRH0423	NRH0423_018s	NRH	CT	CT_spat
NRH0423	NRH0423_019s	NRH	CT	CT_spat
NRH0423	NRH0423_020s	NRH	CT	CT_spat
NRH0423	NRH0423_021s	NRH	CT	CT_spat
NRH0423	NRH0423_022s	NRH	CT	CT_spat
NRH0423	NRH0423_023s	NRH	CT	CT_spat
NRH0423	NRH0423_024s	NRH	CT	CT_spat
NRH0423	NRH0423_025s	NRH	CT	CT_spat
NRH0423	NRH0423_026s	NRH	CT	CT_spat
NRH0423	NRH0423_027s	NRH	CT	CT_spat
NRH0423	NRH0423_028s	NRH	CT	CT_spat
NRH0423	NRH0423_029s	NRH	CT	CT_spat
NRH0423	NRH0423_030s	NRH	CT	CT_spat
NRH0423	NRH0423_031s	NRH	CT	CT_spat
NRH0423	NRH0423_032s	NRH	CT	CT_spat
NRH0423	NRH0423_033s	NRH	CT	CT_spat
NRH0423	NRH0423_034s	NRH	CT	CT_spat
NRH0423	NRH0423_035s	NRH	CT	CT_spat
NRH0423	NRH0423_036s	NRH	CT	CT_spat
NRH0423	NRH0423_037s	NRH	CT	CT_spat
NRH0423	NRH0423_038s	NRH	CT	CT_spat
NRH0423	NRH0423_039s	NRH	CT	CT_spat
NRH0423	NRH0423_040s	NRH	CT	CT_spat
NRH0423	NRH0423_041s	NRH	CT	CT_spat
NRH0423	NRH0423_042s	NRH	CT	CT_spat
SAB0423	SAB0423_001s	SAB	CT	CT_spat
SAB0423	SAB0423_002s	SAB	CT	CT_spat
SAB0423	SAB0423_003s	SAB	CT	CT_spat
SAB0423	SAB0423_004s	SAB	CT	CT_spat
SAB0423	SAB0423_005s	SAB	CT	CT_spat
SAB0423	SAB0423_006s	SAB	CT	CT_spat
SAB0423	SAB0423_007s	SAB	CT	CT_spat
SAB0423	SAB0423_008s	SAB	CT	CT_spat
SAB0423	SAB0423_009s	SAB	CT	CT_spat
