HRP22-013	0.0012
HRP22-014	0.0006
HRP22-016	0.0007
HRP22-017	0.0004
HRP22-018	0.0007
HRP22-019	0.0005
HRP22-020	0.0011
HRP22-021	0.0008
HRP22-022	0.0007
HRP22-023	0.0009
HRP22-024	0.0028
HRP22-026	0.0004
JAC0523-001s	0.2139
JAC0523-002s	0.2554
JAC0523-003s	0.2250
JAC0523-004s	0.2215
JAC0523-005s	0.2695
JAC0523-006s	0.3152
JAC0523-007s	0.2665
JAC0523-008s	0.2382
JAC0523-009s	0.2652
JAC0523-010s	0.2487
JAC0523-011s	0.2315
JAC0523-012s	0.2801
JAC0523-013s	0.2988
JAC0523-014s	0.2316
JAC0523-015s	0.2522
JAC0523-016s	0.3073
JAC0523-017s	0.1719
JAC0523-018s	0.3849
JAC0523-019s	0.2254
JAC0523-020s	0.3220
JAC0523-021s	0.2602
JAC0523-022s	0.2247
JAC0523-023s	0.2917
JAC0523-024s	0.1835
JAC0523-025s	0.2393
JAC0523-026s	0.2684
JAC0523-027s	0.2759
JAC0523-028s	0.1933
JAC0523-029s	0.3421
JAC0523-030s	0.1775
JAC0523-031s	0.1922
JAC0523-032s	0.2836
JAC0523-033s	0.2836
JAC0523-034s	0.1878
JAC0523-035s	0.3588
JAC0523-036s	0.2031
JAC0523-037s	0.3198
JAC0523-038s	0.2011
JAC0523-039s	0.2697
JAC0523-041s	0.2417
JAC0523-042s	0.2185
JAC0523-043s	0.2644
JAC0523-044s	0.2191
JAC0523-045s	0.2295
JAC0523-046s	0.3085
JAC0523-047s	0.2581
JAC0523-048s	0.2085
JAC0523-049s	0.1674
JAC0523-050s	0.2018
JAC23a-10	0.1563
JAC23a-11	0.2342
JAC23a-12	0.2702
JAC23a-13	0.2073
JAC23a-14	0.2693
JAC23a-16	0.5225
JAC23a-17	0.1262
JAC23a-18	0.3620
JAC23a-19	0.2237
JAC23a-20	0.2645
JAC23a-21	0.2186
JAC23a-23	0.2835
JAC23a-24	0.2836
JAC23a-25	0.2386
JAC23a-26	0.3417
JAC23a-27	0.2048
JAC23a-28	0.1660
JAC23a-29	0.1731
JAC23a-30	0.2508
JAC23a-31	0.2038
JAC23a-32	0.2271
JAC23a-33	0.2305
JAC23a-34	0.1544
JAC23a-35	0.1646
JAC23a-36	0.2494
JAC23a-37	0.2400
JAC23a-38	0.2046
JAC23a-39	0.1642
JAC23a-40	0.4603
JAC23a-41	0.2698
JAC23a-42	0.5675
JAC23a-43	0.2133
JAC23a-7	0.1892
JAC23a-8	0.1847
JAC23a-9	0.2317
KRB16-001	0.9999
KRB16-002	0.9999
KRB16-003	0.9996
KRB16-004	0.9993
KRB16-005	0.9998
KRB16-006	0.9999
KRB16-007	0.9997
KRB16-008	0.9997
KRB16-009	0.9999
KRB16-010	0.9999
KRB16-011	0.9999
KRB16-012	0.9999
KRB16-013	0.9993
KRB16-014	0.9998
KRB16-015	0.9996
KRB16-016	0.9998
KRB16-017	0.9996
KRB16-018	0.9998
KRB16-019	0.9996
KRB16-020	0.9999
KRB16-021	0.9999
KRB16-022	0.9999
KRB16-023	0.9998
KRB16-024	0.9985
KRB16-025	0.9999
KRB16-026	0.9999
KRB16-027	0.9999
KRB16-028	0.9999
KRB16-029	0.9998
KRB16-030	0.9997
KRP13-001	0.9998
KRP13-002	0.9998
KRP13-003	0.9997
KRP13-004	0.9999
KRP13-005	0.9982
KRP13-006	0.9997
KRP13-007	0.9996
KRP13-008	0.9993
KRP13-009	0.9993
KRP13-010	0.9996
KRP13-011	0.9997
KRP13-012	0.9997
KRP13-013	0.9999
KRP13-014	0.9990
KRP13-015	0.9998
KRP13-016	0.9994
KRP13-017	0.9928
KRP13-018	0.9948
KRP13-019	0.9995
KRP13-020	0.9999
KRP13-021	0.9998
KRP13-022	0.9998
KRP13-023	0.9999
KRP13-024	0.9997
KRP13-025	0.9992
KRP13-026	0.9999
KRP13-027	0.9998
KRP13-028	0.9994
KRP13-029	0.9997
KRP13-030	0.9997
LIW1-10	0.2874
LIW1-11	0.2343
LIW1-12	0.3191
LIW1-13	0.3171
LIW1-14	0.2936
LIW1-15	0.3076
LIW1-16	0.2172
LIW1-17	0.2891
LIW1-18	0.3281
LIW1-19	0.3666
LIW1-1	0.4252
LIW1-20	0.2723
LIW1-21	0.3470
LIW1-22	0.2893
LIW1-23	0.2383
LIW1-25	0.2167
LIW1-26	0.2537
LIW1-27	0.3274
LIW1-28	0.2255
LIW1-29	0.2867
LIW1-2	0.2363
LIW1-30	0.2745
LIW1-31	0.2900
LIW1-3	0.3779
LIW1-47	0.3186
LIW1-4	0.2723
LIW1-5	0.2593
LIW1-6	0.2279
LIW1-7	0.4171
LIW1-8	0.2269
LIW1-9	0.4131
LIW2-10	0.2394
LIW2-11	0.2367
LIW2-12	0.3501
LIW2-14	0.2964
LIW2-15	0.2686
LIW2-16	0.6725
LIW2-17	0.2689
LIW2-18	0.4130
LIW2-19	0.2383
LIW2-20	0.2372
LIW2-21	0.4459
LIW2-22	0.4371
LIW2-23	0.2913
LIW2-24	0.4751
LIW2-25	0.2588
LIW2-26	0.2683
LIW2-27	0.2218
LIW2-28	0.4247
LIW2-29	0.3703
LIW2-2	0.2466
LIW2-30	0.2329
LIW2-32	0.3677
LIW2-34	0.3024
LIW2-3	0.3292
LIW2-4	0.2760
LIW2-5	0.2636
LIW2-6	0.3329
LIW2-7	0.3230
LIW2-8	0.2413
LIW2-9	0.3399
LOP0423-001s	0.3493
LOP0423-002s	0.1297
LOP0423-003s	0.1532
LOP0423-004s	0.1371
LOP0423-005s	0.1042
LOP0423-006s	0.1682
LOP0423-007s	0.2863
LOP0423-008s	0.2026
LOP0423-009s	0.1602
LOP0423-010s	0.1471
LOP0423-011s	0.2453
LOP0423-012s	0.2777
LOP0423-013s	0.1090
LOP0423-014s	0.2118
LOP0423-015s	0.2158
LOP0423-016s	0.2911
LOP0423-017s	0.2041
LOP0423-018s	0.2269
LOP0423-019s	0.2056
LOP0423-020s	0.2152
LOP0423-021s	0.1257
LOP0423-022s	0.2033
LOP0423-023s	0.2759
LOP0423-025s	0.0924
LOP0423-026s	0.2712
LOP0423-027s	0.1400
LOP0423-028s	0.1325
LOP0423-029s	0.2283
LOP0423-030s	0.3174
LOP0423-031s	0.1122
LOP0423-032s	0.1986
LOP0423-033s	0.1228
LOP0423-034s	0.1665
LOP0423-035s	0.1845
LOP0423-036s	0.2042
LOP0423-037s	0.2152
LOP0423-038s	0.2098
LOP0423-039s	0.2555
LOP0423-040s	0.2705
LOP0423-041s	0.2061
LOP0423-042s	0.2717
LOP0423-043s	0.2268
LOP0423-044s	0.1875
LOP0423-045s	0.1308
LOP0423-046s	0.2226
LOP0423-047s	0.1786
LOP0423-048s	0.2370
LOP0423-049s	0.1967
LOP0423-050s	0.1516
LOP0423-051s	0.2177
LOP0423-052s	0.2568
LOP0423-053s	0.1273
LOP0423-054s	0.1393
LOP0423-055s	0.1534
MCK0423-001s	0.1157
MCK0423-002s	0.1898
MCK0423-003s	0.0603
MCK0423-004s	0.2187
MCK0423-005s	0.1281
MCK0423-006s	0.1585
MCK0423-007s	0.2114
MCK0423-008s	0.1950
MCK0423-009s	0.1893
MCK0423-010s	0.2602
MCK0423-011s	0.2108
MCK0423-012s	0.2004
MCK0423-013s	0.1623
MCK0423-014s	0.2196
MCK0423-015s	0.2234
MCK0423-016s	0.2122
MCK0423-017s	0.2124
MCK0423-018s	0.1888
MCK0423-019s	0.2030
MCK0423-020s	0.2348
MCK0423-021s	0.2171
MCK0423-022s	0.3096
MCK0423-023s	0.1147
MCK0423-024s	0.1409
MCK0423-025s	0.1277
MCK0423-026s	0.1898
MCK0423-027s	0.1579
MCK0423-028s	0.0624
MCK0423-029s	0.2235
MCK0423-030s	0.1875
MCK0423-031s	0.1594
MCK0423-032s	0.1232
MCK0423-033s	0.1410
MCK0423-034s	0.1355
MCK0423-035s	0.2278
MCK0423-036s	0.1760
